"","Control_3","Control_4","Control_7","Control_9","Control_13","FCDI_1","FCDI_2","FCDI_3","FCDI_4","FCDI_5","FCDII_1","FCDII_2","FCDII_3","FCDII_4","FCDII_5","FCDII_6","FCDII_12","FCDII_14","FCDII_15","FCDII_16","FCDII_17","FCDII_18","FCDIII_2","FCDIII_4","FCDIII_5","HME_1","HME_2","HME_3","HME_11","HME_12","HME_13","HME_14","TSC_1","TSC_2","TSC_5"
"GRIN2B",42686,32419.2,136794,13626.8,79460.6,92838.6,51007.5,160514,66685.3,67391,32310.6,43083,55116.9,216648,NA,100198,55357.9,38477.8,139613,159755,129843,35726.3,52930.9,132586,33273.6,NA,51943.2,99759.7,NA,67207.9,146533,153216,32170.4,NA,120153
"GRIN3A",83763.6,NA,20567.1,NA,18448.1,NA,42279.4,31076.5,29102.1,63130.2,NA,28575.8,21276.2,51382.8,NA,45807.5,NA,NA,26000.6,21904.4,30057.5,NA,19695.3,NA,NA,NA,39830.9,96349.9,NA,72159.4,32294.2,65701.6,NA,NA,36576.2
"GRIP1",40265.1,34742.9,48641.4,NA,43905.3,40777.6,54004.2,45758.8,50409.5,35308.4,26895.9,37755.6,25593.8,92028.2,18025.3,68105,NA,NA,41739.3,39430.6,63469.7,38810.9,47085.5,42836.3,NA,NA,45865.4,64303.1,NA,69710.7,70378.2,81983.6,26625.6,NA,52211.9
"GRIPAP1",759319,186432,615991,881579,293521,663394,727463,623249,786575,656642,535589,607673,344859,595684,394622,709734,589504,431570,589838,565737,679442,418138,645182,1126850,482116,388398,569448,550846,196144,617935,410967,480290,440485,227890,614975
"GRK2",559748,430066,503021,449202,545850,536063,659198,569761,641025,713062,477542,530743,443462,739066,278559,508118,527482,318436,531938,533000,799702,415772,520404,373014,350424,316321,443218,876868,466589,667565,607034,812213,342462,304677,555631
"GRK3",27662.3,19365.8,38272.8,20140.8,25268.5,33960.1,36053.2,40743.2,31539.7,41069.7,23750.4,33378.8,17075.1,58164.8,11390.8,28756.3,27470,NA,24833.6,39901.1,47271.6,18328.4,25380.5,18813.9,14491.4,NA,34155.5,71505.2,17859,41594,53842.7,58376,19423.3,10702,43962.4
"GRK5",30960,16737,21306.6,15484.9,28662.9,22241,27289.4,15355.4,26336.5,15956,18351.1,21877.4,14791.9,31016,13874.7,29788,18073.9,11533.6,18976.5,17210.9,17795.2,20346.6,19703.1,16033,17580.6,NA,11883.7,23406,NA,13207.4,15567.6,24940.1,11816.7,18787.3,21971.4
"GRK6",38162.7,50793.2,41961.7,49592.2,28027.5,53209.2,46781.2,44475.3,54661.1,32768,50175.1,53912.8,49828.3,47388.9,46708,54235.3,35407.1,41507.4,46517.7,34640.2,43156.3,38194.7,49570.3,33554.7,51719.9,29877.9,35451.7,41493.1,NA,39515.9,28409.2,44856.7,38247.5,36040.6,40089.4
"GRM1",276773,86792.6,95863.5,81124.4,172585,101325,199361,79740.4,135022,158086,85331.5,95324.6,80653.7,170287,NA,207811,121708,NA,123021,82811.6,93786,58565.6,140979,105991,73142.1,NA,150613,215943,NA,281736,234468,130901,44727.6,36072.8,79134.2
"GRM2",357624,171882,340292,193944,2e+05,208473,251899,298098,188842,172384,273506,280301,216106,93560.2,73956.6,149647,181779,172796,151882,315298,252487,64721.1,152301,194951,117021,178574,176219,189920,150811,122963,179690,223713,182081,72225.7,248189
"GRM3",1786880,729263,1684890,1138060,1106830,1260680,2013770,2006870,1226340,1720610,1292660,1408470,1047650,1335800,588641,1463520,1063750,1167740,779396,2031350,1157000,383763,1012630,1340510,644206,786379,1256380,1950120,913903,1865870,2229900,1680940,1133000,299468,1426010
"GRM4",15983.3,NA,NA,NA,NA,7038.99,8001.27,11010.7,9171.13,10324.9,6146.12,NA,NA,7705.51,NA,9364.87,NA,NA,NA,7740.61,18454.1,NA,5737.82,NA,NA,NA,9827.06,14852.2,NA,16842.4,6773.02,11237.8,NA,NA,10264.7
"GRM5",1423050,408644,680300,517464,760933,815856,1131740,513476,664227,882963,654464,552629,381140,1030050,104523,901341,630666,298068,644929,544160,751793,281849,683651,583411,309817,215316,1090350,1419380,359220,1317710,1318060,704376,288611,196426,524987
"GRM7",135626,65462.5,75914.3,63460,93171.5,71276.9,147719,91492.6,118674,154784,71452.5,73758,56866.8,184933,27039.6,134970,92722.8,51091.7,78512.4,93365,109011,44085.8,75861.2,71132.1,48900,42574.7,146946,210690,180592,197211,211097,187120,54475.5,76161.8,126031
"GRM8",21255.9,7435.2,7244.37,5358.02,20361.6,NA,19624,NA,12325,NA,17524.1,10734.5,4827.45,11018,NA,NA,NA,NA,NA,8013.62,18591.4,NA,12026.6,12002.5,NA,NA,NA,NA,NA,NA,14890,8629.24,NA,NA,5107.37
"GRN",NA,NA,60712.2,78230.9,NA,93971.4,28335.6,NA,12258.5,NA,65520.4,89627.2,NA,31552.5,21135.7,19101.4,NA,NA,27360.4,NA,NA,72520.1,13122.6,37067.8,NA,28287,59635.1,NA,108749,21470.4,NA,NA,NA,127483,7941.63
"GRPEL1",NA,NA,488804,649277,NA,382426,578697,557300,729865,617510,597462,520086,NA,447715,360069,615089,644641,302386,651953,570223,752994,378921,716464,793630,417231,730151,536916,NA,413326,371193,NA,634499,292874,724921,518745
"GRSF1",71743.3,155715,164363,126926,173330,226601,126453,173826,183366,133426,86365.3,132426,221276,161702,159873,130993,128768,121422,186990,151206,150365,206816,142859,217592,164047,103145,157424,197933,46528.7,129383,230392,130696,121167,157791,171412
"GRWD1",16367.5,18361.2,18775.7,NA,26462.5,20738.1,NA,12076.1,16690.8,12203.8,13994.1,10840,26586.8,28009.7,15189.6,15281.3,15167.3,12482.4,14064.9,14398,NA,17788.3,11919.5,14926.1,19302.2,NA,NA,16575.6,NA,20732,19173,23141.5,15880.7,10950,19496
"GSDMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51420.5,NA,NA,NA
"GSDMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSDMD",NA,25319.8,NA,14079.6,18424.6,16896.1,17856.9,19538.9,18113,13917.8,28594.1,13413.9,28798.9,13617.2,14140.3,13538,NA,20458.1,15359.9,20732.9,NA,28516.1,NA,15117.1,28112.3,24212,27475.8,18765.7,10862.7,NA,NA,NA,24483.6,38815.9,17290.5
"GSDME",191629,218934,166518,142917,156070,194697,152031,87619.7,105678,124665,193841,185484,207502,125138,261712,104842,115937,103694,115954,92041.2,112288,238272,146856,86577.3,186021,90968.9,86528.1,148315,206725,154596,121633,101084,106027,342634,167396
"GSG1L",30580.8,12780,NA,17605.9,NA,19948.2,33281.9,26794.5,12960,NA,NA,25475.4,NA,12113.9,NA,18817.7,NA,10290.6,10366.7,22489.3,21992.4,NA,8475.7,21008.3,NA,NA,35954.2,12730.2,NA,NA,22124.3,NA,NA,NA,18866.1
"GSK3A",1056090,935813,1119940,827031,1103690,1216150,1148110,1362230,1012130,1351410,974902,1014580,718876,1315950,713610,1072700,1203760,940021,946870,1103890,1224520,618792,898294,834486,807290,1022890,1028330,1351790,1028460,1337280,1066870,1444820,966628,718314,1058830
"GSK3B",1064250,817039,968737,762818,884888,1212170,1055640,856272,776035,1146260,850363,1012070,749597,1335560,532900,872695,910591,726758,910554,953200,934838,686013,712669,741523,678483,841806,1120420,1337230,1002080,1247240,1486260,1236230,717905,557120,910081
"GSKIP",45154.3,19188.1,10859.7,NA,16161.5,NA,NA,NA,NA,NA,NA,NA,37633.4,NA,NA,NA,NA,NA,NA,7212.68,NA,NA,NA,NA,27848.4,NA,NA,6704.67,NA,NA,31505.8,NA,15658.2,NA,NA
"GSN",3016090,13843800,6765750,8891360,5413090,4667710,3221140,7450090,2993370,4462630,7262800,8777750,11095400,2215870,24027000,3335860,2995800,17472100,9642050,6912300,2672320,22842100,5089990,4957290,13942800,16696000,1634160,3154520,13531000,2874080,1736130,2103930,16940300,15058900,6332190
"GSPT1",418726,508977,419906,386723,472701,452297,423801,441199,480450,523036,437052,436346,492870,507691,629678,377999,445532,499802,472220,453225,360426,512798,419466,289561,455128,457111,342945,522062,662290,569186,569604,426318,530064,543150,429050
"GSPT2",72452.8,79871.2,67249.5,60360.6,70577.1,68660.4,80075.9,64618.5,78733.1,89724.5,58660.1,69987.4,58014.1,89652.4,73263.5,75792.5,77174.3,51326.5,71270.4,71780,97773,42229.2,79861.2,42151.7,60075.8,52744.8,78488.6,76739.8,82841,93931,81862.3,59593.4,44006.3,72571.1,61185.2
"GSR",3174900,1837820,1929020,1631470,2333710,2013170,2016340,1831370,1747100,2188680,1899010,1483360,1930250,2283910,2769720,1934850,2213820,1895810,2081680,1860000,2210130,2955200,1979870,1312680,1796470,1550880,2252580,2392170,2502810,2599200,2234920,2239500,1887010,2982210,1882980
"GSS",1648740,1964360,1321940,1667320,1480610,1183360,1554580,1292060,1250350,1296570,1655560,1429760,1018640,1200920,2103580,1307840,1367300,1628420,1389870,1183090,1355850,2276930,1127330,1458540,1613870,1830270,1014500,1302220,2066920,1435390,934270,1274100,1628150,1841420,1299450
"GSTA4",NA,26243,97586.2,157448,NA,87377.2,126071,88752.3,115737,112633,117844,118352,NA,167044,144916,136880,133441,88992.1,84093.4,76142.8,107880,63963.9,144020,133262,166925,NA,113437,NA,145010,131293,NA,117374,82107.1,181756,168384
"GSTK1",91295.6,92721.4,959281,1147010,78737.2,796538,798660,807321,925409,891686,1158410,955395,528355,812292,1338390,895945,924086,1017360,931136,796922,626470,1209310,993011,1289820,765016,756550,747571,60283.4,1092990,689772,259544,783920,682804,1154980,1033550
"GSTM1",NA,302112,840434,115928,NA,NA,NA,NA,NA,603807,1467640,NA,719424,627362,86010.5,1344960,1484890,NA,NA,NA,NA,79746.7,240712,3873740,NA,NA,NA,NA,2307310,580014,NA,NA,NA,107157,4086170
"GSTM2",659812,898241,4040320,4210200,620417,3914040,3450580,2554910,3640040,3404460,5398170,3419530,4704840,3087370,8402480,4257700,5651100,4335900,3138560,2603860,3343010,7743370,3271410,7036600,6389950,4348050,2581130,261849,6615170,4429150,803955,2900010,4161830,12984100,9557190
"GSTM3",2971000,4881540,5834010,9179940,6378060,8304340,6129520,5391300,10226900,7422900,7945910,9173150,12702800,7096200,7883880,9641750,8031600,10417900,7486700,5299440,9022590,9226740,8830950,9666670,16489700,9599350,4246240,2160350,7330790,8092350,2708120,6482990,8941690,29439000,24639800
"GSTM4",NA,12248,NA,13502,NA,8712.98,NA,NA,NA,NA,74345.3,15734,13188.1,33485.2,36404.3,15811.7,25895.4,NA,NA,NA,NA,15721.2,20599.1,67985,15958.9,NA,NA,NA,79362.7,NA,NA,NA,NA,17814.8,37125.3
"GSTM5",NA,993848,1928480,395206,NA,436698,504147,145202,387131,1305760,3823300,322501,4289050,1759650,815435,2414690,3959510,449919,185830,163447,198420,535383,579456,7130490,1410700,292019,311235,NA,4429230,1644210,NA,172093,452280,1323360,7609270
"GSTO1",2039500,1237350,2092380,5255800,1180160,3656570,3046430,3419620,3896810,2574400,4801660,4331440,2836880,2769910,7631240,3579810,4766840,4574580,3863250,3682090,1595770,4711390,4910490,5051330,4723160,5527580,3076840,673970,3415490,2874520,1040620,2578730,4504680,6318610,3566410
"GSTP1",6618250,18770800,13358100,23201600,13258600,14921200,16334700,13829100,12243100,12738600,19889300,15068700,21852300,9601020,30886400,14978300,14226300,21828000,14298000,12542900,10162000,36385100,15371500,19091200,30092900,22033100,10385800,8327540,18404000,13183000,6938350,10130300,20827500,46127200,18996800
"GSTT1",NA,249068,642676,898342,NA,299093,521535,488470,324216,441026,969221,609388,363594,363610,713941,380406,586004,1556420,329750,NA,150629,1055400,305687,625654,1055380,689756,257090,171313,1167880,371053,138102,343084,1296140,3326600,1286570
"GSTT2B",94575.4,616652,595540,708669,478616,642970,981320,1344270,771870,512522,1162740,150550,766771,423094,2387270,896681,758143,160790,737195,1154920,407233,3287340,793283,164201,1218770,NA,276087,445082,2293560,827141,231377,509890,178607,6989830,2485880
"GSTZ1",65984.1,196656,203061,305992,89372.7,241179,168769,185359,136672,78633.4,361436,353253,212920,77563.6,431622,99030.9,241084,464925,154491,173892,81709.3,417881,270569,182192,385486,419812,62871.9,NA,104262,61517.7,62789.7,69009.8,347752,132914,215128
"GTDC1",NA,NA,78704.1,59045.7,NA,79948.8,NA,80160.1,61387,81581,57134.6,67686.8,86570.9,71731,115883,84455.9,97404.8,68210.2,57380,97764.5,NA,93700.8,98101.2,56274.3,48812.9,NA,37332.2,NA,41235.2,65471.1,59167.7,69047.6,NA,45596.2,84394.7
"GTF2B",NA,10327.1,7847.74,11846.7,NA,5906.08,6882.08,7094.35,5343.06,6449.67,7186.7,7675.56,9187.7,8310.37,11632.9,6928.55,NA,NA,7795.94,9125.37,NA,NA,NA,7937.19,NA,NA,NA,NA,5930.65,NA,NA,NA,8241.48,5357.84,6987.92
"GTF2E1",NA,NA,5638.34,5657.09,NA,5796.43,4678.27,7142.52,NA,3822.32,NA,5710.93,3759.92,6521.08,5417.06,5665.95,NA,NA,4075.9,NA,NA,8738.79,NA,NA,NA,NA,NA,6680.59,NA,NA,NA,4478.61,NA,NA,NA
"GTF2E2",NA,NA,6622.15,NA,NA,NA,NA,NA,9829.85,9120.39,NA,4411.49,NA,NA,23923.8,9948.18,NA,NA,NA,NA,NA,NA,12935.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13821.8
"GTF2F1",37450.8,41247.5,19234,27074.2,17919.7,21739.9,22078.3,19527.8,18969.5,22200.5,20354.5,26150.3,32903.2,23664.5,30628.5,23642.5,16405.2,27528.7,15143.1,26109.1,18077.9,18760.1,15476.5,23771.3,18980.7,NA,16177.9,22384.3,38818.7,24211.4,28614.1,21602.2,21909.1,25696.1,20394.2
"GTF2F2",16153.7,42749.3,23907.7,22097.6,16806.2,20407.8,35265.3,32533,40839.7,34909.1,27622.5,33998.9,41038.3,34020,71191.6,28549,18633.3,27990.2,28755.2,32312.6,21573.7,32648.5,14441.1,34341.5,29195.2,NA,NA,32047.5,41751.6,28235.2,31886.2,33000.4,42790.9,35944.1,25581.9
"GTF2H4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5303.47,1683.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3111.48
"GTF2I",48186,105606,110251,79096,85933.7,90967,80506.2,83194.7,77447.3,91097.8,73368.9,114864,153579,111905,136933,95228,63708.4,133485,92056.1,93432,77158.1,95658.1,91307.5,84351.4,108127,90438.3,96956,109712,29316.4,76411.6,66114.5,100457,137621,68834.6,97130.8
"GTF3C1",NA,NA,NA,NA,NA,NA,NA,6863.89,NA,NA,NA,NA,NA,7918.16,6496.51,8625.87,NA,NA,NA,NA,NA,NA,7370.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9202.68
"GTF3C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3428.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2339.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTF3C5",NA,28423.5,27050.9,NA,25000.6,42823.1,29562.3,53479.4,27918.5,NA,27340.5,29646.3,50990.6,44420.8,55402.6,44163.1,NA,NA,37461.6,35409.1,NA,62287.9,33462.2,NA,40666.1,NA,23971.1,21745.9,NA,27160.1,27576.3,26460.8,NA,30863.8,41452.1
"GTPBP1",277642,418939,264939,220289,358152,273346,294608,271399,304016,296888,264937,273635,373483,331520,395083,291952,306346,328043,256274,263653,285524,214359,282458,178276,314257,241668,281848,415358,322542,350775,335767,297654,295203,271844,282379
"GTPBP10",NA,NA,18130.9,19178.4,NA,17691.5,30497.4,21374.9,16633.4,21374.3,25837.3,11849.4,14268.2,21936,15733.2,12237.7,16777,10971.1,NA,18789,22874.3,NA,33190.1,NA,NA,NA,NA,12607.4,NA,NA,14040.8,29466.6,12955.1,12714.2,23759.9
"GTPBP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTPBP3",NA,34797.7,28617.5,27517.7,19617.6,20768.1,28976.7,36755.8,59686.7,25324.8,30801.9,35401,24654.4,35387.7,32153.8,46543.9,NA,NA,30701,28756.3,54984.3,NA,30812,35953.8,NA,NA,23905.4,30558.2,18318.8,23539.1,29869.4,29437.1,NA,15199.1,36710.9
"GTPBP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTPBP6",NA,NA,NA,NA,NA,NA,NA,NA,16966.5,NA,NA,14870.7,NA,9547.53,13135.9,NA,NA,NA,NA,NA,9754.29,NA,11407.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5868.17
"GUCY1A1",261367,258462,120660,181131,204951,119936,181960,124042,224203,211983,162433,163455,108140,122983,145146,161114,264847,188935,151284,123153,118711,96770.1,260586,107138,183876,163845,130607,142914,334601,159303,111114,139180,162095,189533,134883
"GUCY1A2",169643,95446,205501,116397,148427,217984,174188,192719,162569,238264,147151,151803,148833,253387,51258.9,170500,125254,87661.7,171815,175931,155667,111150,134297,123878,67841.5,81715.6,238720,278297,99219.5,209698,289855,250822,97493.4,74531.3,160433
"GUCY1B1",544249,420304,512683,399708,560182,541838,520427,480351,609956,720401,427060,408980,400917,638643,248755,503485,599193,391069,488319,469030,462539,344804,591651,378587,342074,313527,345457,573327,494952,595794,749248,681555,397727,244692,505019
"GUF1",NA,50034.3,76686.8,58384.8,25586.8,91890.3,88596.9,86252,69954.9,91805.3,51728.3,36466.9,26301.4,84174.6,55315.7,26805.9,58763.3,20060.1,67616.4,67473.9,114570,63190.4,68751.3,72825.6,34246.9,NA,62988.7,42646.5,NA,53944.8,80975.5,87707.6,29760.9,22713,103779
"GUK1",429901,545035,1276480,1528040,546112,1253910,1331500,1314440,1881120,1386650,1231000,1674230,756957,1136490,1922380,1227130,976576,1298790,1183700,1293640,1569390,913581,1392380,1912750,1181840,1510000,1560350,348144,1005540,1379830,506667,1357670,1214250,1085390,1312780
"GUSB",16349.6,31119.5,21905.7,17863.5,13208.6,15420.5,14030.1,12263.7,10726,17973.2,19645.9,31670.1,33607.5,16409.1,62670.8,17506.9,NA,36982.8,22263.7,12215.2,NA,26771.2,13433.1,NA,21500.9,12294.3,NA,13964.6,34239.5,16668,10025.4,12033.7,29114.8,44874.7,16406.8
"GXYLT1",9392.05,NA,5547.15,NA,NA,NA,NA,NA,NA,NA,NA,1968.78,8782.48,7357.73,6247.74,5349.51,NA,NA,3861.37,4018.8,NA,NA,7509.22,3173.3,NA,NA,6315.45,NA,NA,NA,5841.13,NA,NA,5594.34,6959.22
"GYG1",1117950,1046890,562585,648772,737017,785720,423757,517314,537449,368079,763772,697661,1164420,362861,1928260,419905,756162,956315,1105870,526922,441688,2739960,853339,625069,1361530,900712,547685,406281,774208,391706,444575,295162,936609,2905970,1048690
"GYG2",36880.4,48912.6,42203.4,31703.2,NA,38506.3,NA,40703,NA,NA,31881.6,43517.3,98896.5,32439.9,163671,39670,NA,48968,47344.2,60142.8,NA,39688.8,43118.2,21322.8,74712.3,NA,NA,27681.4,97081,54030.6,25353.1,32690.5,44411,306614,93896.7
"GYPC",328525,NA,NA,NA,208314,NA,NA,NA,NA,NA,NA,NA,40320.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663282,NA,NA,112856,NA,NA,NA,NA
"GYS1",72558.6,312491,249308,175033,242600,223651,256014,274241,164441,196010,277812,193161,397604,275471,580815,232535,240772,310688,384102,305351,267247,630031,231905,137327,377180,144339,241959,274850,345007,295867,369295,209649,301693,748692,396101
"H1-0",2915090,141682,316173,158276,1980900,755230,754174,748143,1564510,146526,219269,98907,1418640,1195790,160908,2570890,450567,189407,805580,689040,1237170,3940440,1211810,4216350,2796830,1419980,308073,641465,53225.2,606515,2132640,675844,146771,716328,903267
"H1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H1-10",196041,NA,34113.5,NA,200406,164178,65851,78249.7,148317,24754.5,NA,NA,282963,208857,54502.9,269564,118619,49299.5,102263,89825.5,167689,282895,182840,240390,335385,64978.9,55421.8,97339.7,NA,182193,238529,213172,44453.6,95109.8,165693
"H1-2",231919,25951.3,69105,NA,NA,149857,NA,149729,286935,18398.6,30956,NA,NA,182154,NA,254481,NA,NA,94644.6,NA,106849,378425,136210,363614,NA,NA,NA,97665.7,NA,115286,NA,163080,NA,NA,110431
"H1-4",9142400,344808,1426810,397232,6051990,2514600,1800080,3931980,5128650,517202,484814,279212,5482600,3846350,805195,6699680,1448550,816175,3076980,3753730,4210340,9808260,4673420,12613100,9149650,6779090,1042580,2436030,176189,1584610,5887710,2678400,654006,2002670,2919010
"H1-5",1067260,114920,270829,NA,1222510,400789,339806,591209,944951,200126,114177,NA,NA,1531400,163068,1875140,254670,NA,723387,290714,942924,1705610,613228,1972750,441733,834423,257389,866649,135047,728795,1942530,867490,NA,512116,572626
"H2AC18;H2AC20",NA,NA,54096.9,NA,NA,NA,NA,130011,395957,NA,NA,NA,NA,113142,74604.9,264942,NA,NA,187856,136546,112638,212926,94588.3,876695,64344.4,NA,NA,NA,NA,NA,NA,NA,NA,60326.2,124524
"H2AC21",NA,NA,451996,99214.8,NA,637160,127658,628133,652544,205846,92040,NA,NA,676413,167841,787063,NA,NA,370626,NA,627196,1072810,365724,2648350,NA,1098620,65438.8,NA,93321.2,501460,NA,423303,NA,NA,342051
"H2AC25;H2AC4",8495250,99093.3,12655200,3136620,1135830,20515800,5352240,20308200,22979300,4468350,2447400,2826430,4903130,23162200,6055130,29047000,6878850,6522840,20127300,14964500,18762900,25760800,19676900,78951200,27996300,44211700,NA,7347410,3695000,14273400,3054350,9030060,6799970,6122000,16225600
"H2AX",4108050,166014,8708710,2946490,1032040,12429200,3851300,13166300,14228600,3998810,1979420,2384560,3339170,14584400,4277000,17598000,5714910,6791880,11927700,12933700,14567500,18770400,12534400,53284700,23620800,28459400,2340600,2798260,2108490,7057830,2036670,6082420,7230390,3109150,10730000
"H2AZ2",201049,NA,422075,179013,NA,341957,112475,397804,376185,168942,125090,175758,172042,449797,378998,421371,184663,353270,370615,554133,303334,435820,427884,1250340,851770,850971,190498,168187,114553,296539,86801.2,241818,392996,182522,345161
"H2BC11;H2BC21",23342800,1177370,15424400,4343940,20908500,19994100,6209270,29612200,26514500,5936650,3978230,5125960,20134300,29502200,10847800,32104600,10764800,11568000,26898000,21428700,12675900,34786100,24292400,73845900,36266900,34007600,5539700,19858200,4527960,13918000,22327000,11052600,11474700,9044540,18655400
"H2BC13;H2BC14;H2BC15;H2BC18;H2BC5;H2BC9",3208620,182662,1890530,662646,4433130,2994500,1081110,3580780,4417880,1041300,598429,651366,3652940,5164620,1369360,6929050,1752350,1692950,3698860,3201180,1735570,4869780,3833080,12645800,5171860,4543130,781777,2968240,526441,2296290,4924650,1948290,1736930,1101470,3379310
"H3-3A",2067870,121808,2076450,299831,1670460,2623040,779846,4249390,3857630,651761,355633,444894,1280000,4021320,1167900,5306440,1316620,1581820,3972800,2639830,3990660,5915510,3818150,9615570,5262480,5569030,503582,1334660,246101,1519230,1628460,1843250,1587980,681625,2985210
"H3-7",6296650,189068,5102160,659615,4108250,7144620,1790560,9874640,9719600,1830930,884455,1016720,7521090,10666300,2807870,11868800,3931210,3929480,8358170,9860520,9476250,14083700,8884090,24995100,15991500,12935000,1378780,4929840,614824,4242400,5057110,4389090,4366610,2342350,6829210
"H4C1",4790350,134641,9121030,1990210,1416080,13157200,4083310,19126600,19756700,3465620,2177100,2835230,3998940,20360300,6558700,24832100,7239420,7130550,19119300,16923500,14345900,27657800,18524900,57127400,30777300,24274300,2989570,2696660,1894340,8843590,2619670,8330320,7634960,5262390,14196900
"H6PD",19235.2,44439.8,20450.7,23963.7,16395.5,16416,13410.9,15005.9,14818,12869,19893.3,22848.3,31244.1,13167.5,79816.4,19668.6,14020.4,21683,23400.6,15070.1,NA,91341.8,16687.4,13852.8,28037.7,15795.9,15745.6,15970.4,35827.8,17389.1,NA,NA,25284.3,90919.9,29515.9
"HAAO",NA,14531.5,13159.1,NA,NA,NA,21486.4,11006.9,19057.5,22456,28511.5,21121.6,96643.1,17412.1,59045.8,30225.8,14052,NA,19222.5,16590.6,NA,46312.4,22294.5,9918.14,70153,NA,NA,NA,21571.5,17270.9,NA,16127.2,17926.5,50449.1,60674.2
"HABP2",NA,NA,NA,NA,146906,65316.9,NA,NA,NA,NA,NA,NA,NA,54804.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295143,NA,NA,NA,NA,NA,NA,NA
"HABP4",626781,148743,256618,335078,192188,243786,221075,176674,227213,126410,265184,227712,177443,167886,101343,133535,249807,170950,198594,206074,266933,219008,161782,291658,181855,150496,225524,158718,147995,90441.1,226413,136734,171811,106542,123501
"HACD2",86472.8,144681,89051.1,99598.4,70350.7,90275.6,81023.6,70921.3,64833.1,109272,103625,101499,34274.8,57860.4,151082,66425.3,66577.3,76869.6,81651.3,NA,NA,159714,54054.4,30734.9,NA,133053,80453.6,96031.7,254564,77538.8,47588,99425.5,75578.9,109798,106675
"HACD3",2310480,1967670,1585740,1555870,2240840,1675490,2066340,1420060,1825720,2453440,1858930,1665640,1535050,1688700,1842930,1621490,2104580,1837050,1377340,1394310,2379220,1703190,1987910,854471,1445130,1522090,1857560,2448080,2728280,2449060,2035980,2475490,1849760,2600380,2009770
"HACE1",124594,302227,243864,211623,239952,210542,243619,241189,216837,265384,222546,268485,277981,227948,248205,253910,271880,265620,223325,301266,182776,198665,276828,168908,257717,204690,261881,305938,155185,230797,251751,250381,292154,254248,290868
"HACL1",NA,NA,4601.03,NA,7601.42,7566.98,NA,NA,NA,NA,12739.9,8805.31,10185.4,NA,NA,NA,NA,NA,NA,4475.05,NA,NA,NA,NA,NA,NA,3683.71,NA,NA,NA,10450.8,NA,NA,4361.19,2920.56
"HADH",2277360,3588440,2520200,2610390,3360780,2717340,2748550,2280590,3033680,2363640,3006120,2551640,2881980,2083910,3554200,2532370,3539470,2595840,3311940,2217100,2999030,4613940,2818570,1959480,3389850,2734140,3425520,2341310,3204000,2280160,2690300,2152980,2617330,3962140,2431130
"HADHA",913924,4448930,3784180,3084480,3680870,3527060,2630650,3241310,2739470,3057760,3329920,3331020,4406400,2582070,6890020,3171560,3141920,5506740,5213360,2965120,3451960,9110310,3015670,1905070,5342280,4895790,2198170,2365730,4319360,2158230,2380660,2597340,5160530,5414440,4091350
"HADHB",702716,4045650,2985580,2556460,2672240,2641250,1914170,2285820,1815940,2043870,2699030,2915480,3206870,1879150,4716070,2199720,2289950,3976320,3650880,2190030,1883970,6084580,2166260,1599080,4103040,3882460,1994010,1912370,3405320,1585060,1807450,1790910,3995420,4560350,2766600
"HAGH",3718310,3478070,2678120,2958420,2951800,2519430,2248590,2555720,2219320,2070910,3349870,3044000,2651110,2139890,2381800,2053920,2764060,3028480,2188180,2890400,2199820,1642760,2390950,3320020,2750500,2825010,1857420,2935080,3075550,2060580,2760480,2011400,3057070,2696800,2036220
