"","Control_3","Control_4","Control_7","Control_9","Control_13","FCDI_1","FCDI_2","FCDI_3","FCDI_4","FCDI_5","FCDII_1","FCDII_2","FCDII_3","FCDII_4","FCDII_5","FCDII_6","FCDII_12","FCDII_14","FCDII_15","FCDII_16","FCDII_17","FCDII_18","FCDIII_2","FCDIII_4","FCDIII_5","HME_1","HME_2","HME_3","HME_11","HME_12","HME_13","HME_14","TSC_1","TSC_2","TSC_5"
"DIRAS2",1305950,1071320,1601250,958384,975445,1600030,1344350,1605880,1283000,2161230,910229,1448740,872935,2042630,899924,1537830,1015430,1453100,1148550,1369750,2890640,733809,1011030,868040,661049,1489690,1761120,2052460,1190540,1876310,1681160,2216650,1413490,671658,2067280
"DIS3",12722.6,22101.4,17425.9,14600.4,NA,15761.6,18107.5,24127,18301.3,26392.9,16234.8,22528.1,27454.9,25493.9,26537.8,21945.5,NA,23037.6,14088.2,21086.9,15674.1,17447.4,16745,8954.12,17225.9,NA,18158.9,12374,NA,16099.2,16630.8,17761.1,23802.2,14411.2,19751.8
"DIS3L2",66937,99361,107798,83341,82251.5,87768.6,104216,111506,83352,113517,95830.2,115782,93999,133551,123409,98213.7,72673.9,118782,93634.1,123683,105895,64350.9,84393.2,52205.4,96428.1,102944,109503,137507,123952,115691,124989,137024,119495,90769.3,113525
"DISP2",19885.2,5468.37,7567.24,6696.42,NA,9464.32,7317.88,5195.36,4881.16,4745.06,6706.78,8809.56,7951.47,7738.11,3482.88,6901.03,7030.06,NA,6003.17,4769.95,6174.79,NA,5507.33,5670.46,NA,NA,6380.28,11286,12140.1,18579.3,12328.9,6893.46,NA,8257.07,6866.82
"DIXDC1",5413.46,NA,NA,6704.46,NA,NA,NA,5312.43,6838.8,6381.05,NA,4150.36,3007.79,3151.99,4498.33,4776.03,NA,NA,NA,NA,NA,5404.92,3791.47,NA,NA,NA,NA,NA,NA,4778.36,NA,NA,NA,NA,NA
"DKC1",31407,NA,28889.1,NA,35333.3,44013.2,NA,26811.3,27191.6,31790.5,NA,NA,58444.3,53578.2,55288.5,45404.8,NA,26210.8,13423.1,34007.8,32841.9,32771.6,45165.9,29430,36172.1,NA,NA,NA,19373.7,24345.1,40542,52376,22510,NA,45025.8
"DKK3",3246780,2089180,563370,1492770,943873,496403,427926,329540,664332,246022,782681,695208,521587,185615,1048170,411910,929212,775476,368183,391303,343149,370176,1151880,439834,926083,778709,269726,341818,1451420,208225,266836,215233,757837,998895,375742
"DLAT",3027360,3216740,3820810,3083250,4560890,4071400,3422360,3327970,2959720,3058590,4497040,3118250,2938290,2849440,2048680,3447910,5117590,2960220,3549360,3454790,3603820,1788810,4411030,2588330,2927650,3350620,4223850,4110440,2514200,2907630,4468260,3883590,2810950,2529050,3008750
"DLC1",NA,NA,22075.2,14289.1,16294,NA,14846.4,21906.2,28783.5,NA,23095.8,29013.2,23640.2,27928.8,NA,25431.9,15791.4,12546.1,NA,16567.9,18697.4,NA,24157.9,42078,25624.1,NA,NA,NA,19652.3,9737.07,24077.2,NA,22480.7,NA,29524
"DLD",13696100,7749610,8906550,8284680,9607390,9395140,8795290,7718370,8729570,7794750,11019700,7434590,5347310,7838390,5818880,7932640,10168500,6183640,10579700,6018210,8393750,8169690,9388380,6539970,5876840,6047080,10039900,8923080,7543520,8559240,9489510,8969810,6510210,6768320,6341800
"DLG1",534130,841665,628205,745519,590075,593360,658395,659221,605222,536860,605568,617410,547030,614168,436785,582991,509298,624645,476206,650946,485179,408984,465782,954506,490375,728324,539707,675378,548146,510205,722209,491835,651741,357131,615153
"DLG2",747926,1286730,1198950,1030020,1330310,1030220,933243,1209240,1239720,976248,740020,824245,890253,1021450,537199,1343780,1140170,733417,1430630,1251130,1229500,619324,1088750,1555680,973223,858528,731991,1201470,463765,886516,1118490,1383870,744467,369357,869839
"DLG3",253287,413166,539335,439289,455442,476999,539370,560123,523313,606687,385724,475457,375046,772816,201543,558535,403171,370921,472343,602862,595748,228109,336311,698445,339867,347486,508056,777228,249229,576010,888005,800472,388328,186219,613736
"DLG4",1022400,1186550,4092870,1155470,2520310,2604040,1611160,3044240,1643740,1328900,1183990,1248930,1606290,2502930,400363,2019240,1653250,917861,2160380,3318740,1983480,684464,1408880,4817940,1083460,1295290,1170490,2194390,452059,1311930,2266500,2478900,961815,393847,2104510
"DLG5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3515.24,11002.7,NA,NA,NA,NA,NA,2705.69,NA,NA,4738.87,NA,NA,NA,NA,NA,NA,NA,5534.5,6832.08,NA,NA,7191.29
"DLGAP1",157894,105949,519151,68138.9,267715,331051,130276,331332,215986,130524,61854.3,80812.5,158091,354442,39434.5,244551,175875,96409.2,351499,295003,284353,99439.3,171475,565156,113089,100750,111067,190407,NA,169896,262254,263176,99363.5,NA,295780
"DLGAP2",85200.3,NA,352741,NA,106275,167894,79757,252287,102756,81141.1,NA,46857.9,92535.6,304839,NA,159314,87484,NA,198548,218789,120389,NA,89263.8,408864,NA,NA,77135.1,132619,NA,103060,219479,179053,NA,NA,190553
"DLGAP3",163559,117553,448107,66792,252408,320078,162977,331728,175188,101841,76709.6,120485,126151,294054,19742.8,248883,145894,73208.9,261329,334444,216652,63503.2,145565,680218,75440,64484.8,90400,147642,NA,106863,236749,197396,78715.1,27234.6,228708
"DLGAP4",242305,119364,218613,123506,165149,217856,171953,197027,204842,172498,101300,141324,134106,296251,96875.7,191759,130702,107233,182693,198744,222936,100940,137090,321943,107598,108935,182374,193217,164383,214297,241969,135989,102260,105728,212578
"DLST",6622540,2178820,3842520,3807450,2847800,3262520,3811270,3730310,3285220,3066870,4160310,3044440,2495640,3150020,1980500,3649550,3752550,2596790,4009410,3449360,2580980,2988200,2918300,4679200,2556000,2943590,3979750,2650220,3298440,3635970,3847060,3460050,2539510,2812640,2767690
"DMAC2L",37538.9,104277,154151,204825,90417.2,130225,134083,127823,145959,117601,194795,158580,128964,107497,164505,151105,152742,162829,125240,134846,153743,118811,207513,220313,142125,148840,104049,48127.7,169324,103257,64547.1,194408,155139,172934,144932
"DMAP1",293645,77399.8,NA,408839,124798,273371,427456,277026,NA,212002,416221,297439,NA,262432,170128,286523,282227,229085,NA,49856.7,280517,175225,270852,NA,133476,NA,329312,90039.3,379282,NA,110774,38056.4,195513,NA,245131
"DMBT1",NA,56007,NA,NA,NA,NA,95641.6,NA,NA,65609.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DMD",133180,129961,222562,211850,153547,209107,271483,230153,231334,236553,224876,244748,439979,215650,309852,233105,217128,282059,253215,261424,187399,335053,266208,296318,358282,166194,197250,134149,258320,171917,217578,122849,298008,191661,185872
"DMKN",NA,NA,NA,NA,NA,NA,NA,NA,22695,NA,18470.4,NA,NA,NA,NA,NA,NA,NA,31641,NA,NA,33582.5,22659.4,NA,NA,NA,20038,NA,NA,NA,NA,NA,NA,NA,NA
"DMTN",4171040,448313,2541130,1474100,742332,3013990,1463850,2558450,2453420,2191030,1096150,1621530,862504,2414990,1579570,2587500,2439500,2394880,1914020,2753660,2259090,1395930,2627400,4607960,2867990,1591440,1009920,812360,866438,2352920,708797,1301430,2398260,738164,1932140
"DMWD",252010,210293,181229,181814,219577,215843,307838,206788,211770,223802,190974,214210,174757,264777,128882,243829,196261,135834,158288,211486,308563,141685,161429,159854,176342,114251,259944,309900,195819,261132,293532,221433,140351,167306,221850
"DMXL1",172526,143866,163245,121001,166689,167781,151942,152393,149905,154559,146820,138523,157437,171583,117060,135729,174325,155895,158964,153437,150798,120741,170726,80874.3,106843,78534,129801,171978,108581,171719,199337,135662,140446,112452,154355
"DMXL2",2060320,1060140,1378170,1150970,1694390,1593670,1351330,1172870,1444850,1302000,1266560,1151900,993242,1084000,247130,1102310,1989110,780617,1018380,1159120,1394630,486296,1576670,874148,695323,504170,1064620,1346550,416018,1368860,1538630,1034370,786090,482663,1024340
"DNAAF10",NA,15118.2,23610.4,13534.3,NA,28442.7,NA,20712,14069.2,12984.7,NA,NA,NA,21500.5,34410.6,12249.9,NA,NA,NA,NA,14975.2,28814.9,14471.3,NA,NA,NA,NA,NA,NA,13014.5,NA,29088.4,41027.8,26138.4,25410.1
"DNAAF5",NA,NA,NA,NA,NA,13105.9,NA,NA,10952.6,11067.8,10038.8,12784.1,18136.8,10554.9,33157.9,12577.1,NA,NA,NA,10556.2,NA,25986.1,18420.9,10032.5,18843.4,NA,NA,NA,7705.47,NA,NA,NA,NA,43971.8,25236
"DNAAF9",NA,3487.01,5802.51,NA,NA,6519.02,NA,NA,5269.96,5111.55,NA,3695.04,3870.12,NA,5059.25,NA,NA,NA,NA,3840.85,NA,NA,7314.9,5717.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4661.67
"DNAJA1",1849380,2103440,1218620,1423840,1667240,1530350,1458560,1270010,1672990,1280030,1425850,1375240,1501420,1478700,1154440,1406040,1262640,1324610,1451680,1561070,1579370,1410490,1327020,1876950,1678170,1483720,1647780,1729960,1482570,1352550,1912470,1398340,1386260,1802790,1421840
"DNAJA2",1176040,1413900,1004900,964512,1090820,1313310,1119430,741246,828326,781484,1048330,1044420,700624,1148460,673974,881311,945126,767158,932545,846954,874979,987173,852372,1059430,1022010,988677,885374,1334360,957891,1079990,1170790,905333,818445,1211880,792589
"DNAJA3",192916,298842,377312,284329,389364,462514,505932,275832,390440,227940,347604,298631,254349,344459,129423,384817,382339,157619,330983,264411,343601,259121,425543,500567,273451,158359,380865,287119,127749,289753,366878,346150,156785,145743,283665
"DNAJA4",683101,708886,329040,434775,613594,372144,516011,377353,564497,272667,473451,490819,351705,439700,343773,477644,530726,326267,439026,434592,578588,536159,537290,455725,526708,353321,383402,586283,381693,516976,450447,341459,357422,435984,321248
"DNAJB1",703303,563339,603946,732094,561962,738322,639587,551529,535357,511318,804526,498591,460113,500746,520342,552400,594875,448594,499874,572933,665139,882509,471852,715706,462200,633341,535941,666896,377250,581056,469432,521707,436144,546328,449357
"DNAJB11",612882,372842,288973,318476,443266,319999,372955,332508,350370,326791,276025,330133,319782,404443,188237,321988,319225,249258,413981,295853,300845,381482,259365,347655,239898,215502,432794,541413,335456,327145,519736,408941,255802,300618,330322
"DNAJB12",23956.3,13874.6,21346.8,23330.4,12406.8,31320.7,26347.6,26858.6,23444.2,17554.6,27022.2,26202.2,26529.4,23918.1,18126.2,20669.7,14747.2,NA,21452,20894.7,17138.1,35176.9,10627.4,36774.6,21117.7,12618.1,26026.8,21410.8,26487.2,16285.1,23374.1,26278.4,15393.9,18413.4,31353.8
"DNAJB14",52599.9,26532.2,67823.9,73706.6,NA,75885.7,76622.7,48970.9,54802.5,41233.2,69003.9,71683.1,40496,53389.7,29777.4,49666.8,53536.6,26154.5,51038,45173.2,67491.3,49123.3,49385.9,96980.1,30839.6,NA,65012.2,45805.5,29855.1,33692.3,33237.3,60163.6,33816.3,34888.6,60247.4
"DNAJB2",1901580,1827790,876745,1194840,1312860,1063620,1025380,831220,1051860,722469,928374,878273,795428,544808,861892,1020980,1020640,762223,943593,817325,984905,729541,1101420,1356540,1240510,1052010,679851,813460,684337,747206,621742,469006,827488,648946,675856
"DNAJB4",712625,589820,835655,569937,524306,761422,568800,547289,533550,445015,585887,550381,478852,463709,301563,618565,484001,482923,455065,520022,738627,401370,538169,811278,389107,600752,474192,570592,216759,516565,421139,492925,507695,240588,497773
"DNAJB5",16751.7,11042.1,20366,6381.06,NA,29279.4,31719.4,30230.2,42311.2,59770.8,4610.32,28506.8,14267.4,126415,20905.1,28124.1,NA,13577.2,26436.3,30154.1,48313,27658.8,6988.2,35822.2,NA,NA,21902,74072.6,26321.4,48946.5,87361,80355.2,15697.6,9028.86,65652.3
"DNAJB6",330320,337315,132110,213989,83199.8,185271,134386,55314,100573,48547.4,182006,173283,53158.2,61401.5,75058.9,115557,84668.7,108623,61811.9,72597.7,143084,55443.1,79110.1,106514,157028,263545,92625.5,184268,70849.9,49748.2,29930.3,79832.7,135448,76199.8,55217.5
"DNAJC10",53950.7,30920.4,28546.8,19902.1,34826.5,24999.7,20783.4,24401.4,31596.1,26293.4,20204.6,23280.7,35585.4,37390.3,21617.1,42960.6,28295,17991.1,34926,31213.2,22597.8,37560.6,37533.3,22264.3,20359.3,NA,25077.7,26370.2,22990.3,26065.2,51432.3,31978.6,20217.2,29679.2,36363.6
"DNAJC11",610490,629024,689945,659568,848781,612910,924628,648271,766447,717643,869932,585410,523444,607165,485010,776774,667435,576475,621937,590134,772526,453083,922370,573688,363998,401212,551188,783805,638871,687553,636494,693633,572803,509425,568707
